0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:07:24 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:07:24 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:07:26 +0530] "GET /BankingFrontend/withdrawMoney.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:07:32 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:07:37 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:07:50 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:13:09 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:13:09 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:13:11 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:13:12 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:13:16 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:15:35 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:15:54 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:20:26 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:20:26 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:20:46 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:20:57 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:21:04 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:21:13 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [16/Feb/2022:11:22:09 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3581
